episode,reward,mean reward,score,epsilon,epoch steps,total steps
318,0.24787605327941264,0.26,9.199461845510022,0.6190697534472251,35,12038
319,-1.697655517144618,-0.02,-0.6369869621247659,0.618406225867886,35,12073
320,-0.024119486802455015,-0.05,-1.5785397524612819,0.6177434719526641,35,12108
321,-2.6342973733558637,0.2,7.035688705146143,0.6170814907994778,35,12143
322,2.338068605548834,0.51,18.019906542164737,0.6164202815072971,35,12178
323,2.519846992764787,0.31,10.878472431982185,0.6157598431761426,35,12213
324,2.1544895111844298,0.2,6.86956191763521,0.6151001749070842,35,12248
325,-2.113148564352997,0.31,10.832546959382054,0.6144412758022401,35,12283
326,-1.4134557369172782,-0.54,-18.91938918096544,0.613783144964775,35,12318
327,0.5532951529393841,-0.34,-11.789620658545047,0.6131257814989,35,12353
328,-0.8540156061320232,0.16,5.597087895018525,0.61246918450987,35,12388
